signal_datetime,entry_datetime,exit_datetime,long_symbols,short_symbols,long_return,short_asset_return,gross_return,net_return,equity,drawdown
2025-01-24 00:00:00+00:00,2025-01-27 00:00:00+00:00,2025-01-30 00:00:00+00:00,"XLE,XLK","XLC,XLV",0.0018944503341104535,0.021188433670570883,-0.009646991668230215,-0.009646991668230215,0.9903530083317698,0.0
2025-01-29 00:00:00+00:00,2025-01-30 00:00:00+00:00,2025-02-04 00:00:00+00:00,"XLK,XLU","XLF,XLP",-0.004743078062125261,-0.006171244215522342,0.0007140830766985407,0.0007140830766985407,0.991060202654977,0.0
2025-02-03 00:00:00+00:00,2025-02-04 00:00:00+00:00,2025-02-07 00:00:00+00:00,"XLK,XLU","XLP,XLV",0.01873683463734832,0.008151380162248478,0.005292727237549921,0.005292727237549921,0.9963056139836208,0.0
2025-02-06 00:00:00+00:00,2025-02-07 00:00:00+00:00,2025-02-12 00:00:00+00:00,"XLE,XLK","XLP,XLY",0.003047348878742584,-0.011320244943356095,0.007183796911049339,0.007183796911049339,1.0034628711758176,0.0
2025-02-11 00:00:00+00:00,2025-02-12 00:00:00+00:00,2025-02-18 00:00:00+00:00,"XLK,XLU","XLB,XLP",0.024380893376749202,0.014273278125632394,0.005053807625558404,0.005053807625558404,1.0085341794861307,0.0
2025-02-14 00:00:00+00:00,2025-02-18 00:00:00+00:00,2025-02-21 00:00:00+00:00,"XLE,XLK","XLF,XLC",0.010504372841562915,-0.006999857211926919,0.008752115026744917,0.008752115026744917,1.017360986633397,0.0
2025-02-20 00:00:00+00:00,2025-02-21 00:00:00+00:00,2025-02-26 00:00:00+00:00,"XLE,XLY","XLV,XLRE",-0.029225998768706796,0.013952681427902736,-0.021589340098304766,-0.021589340098304766,0.9953968342902217,-0.02158934009830471
2025-02-25 00:00:00+00:00,2025-02-26 00:00:00+00:00,2025-03-03 00:00:00+00:00,"XLE,XLY","XLRE,XLP",0.007376149905490292,0.00047217667123555795,0.003451986617127367,0.003451986617127367,0.9988329308409226,-0.018211879594269287
2025-02-28 00:00:00+00:00,2025-03-03 00:00:00+00:00,2025-03-06 00:00:00+00:00,"XLE,XLK","XLF,XLU",-0.05449791369514584,-0.04001814660899561,-0.007239883543075115,-0.007239883543075115,0.9916014967426459,-0.025319911249981453
2025-03-05 00:00:00+00:00,2025-03-06 00:00:00+00:00,2025-03-11 00:00:00+00:00,"XLK,XLE","XLC,XLI",-0.0009096661495053837,-0.02123064907823846,0.010160491464366539,0.010160491464366539,1.0016766552863525,-0.01541668252774897
