step,metric,value
1,LRank NDCG,0.4141960619860683
2,LRank NDCG,0.4092678971814292
3,LRank NDCG,0.4080734041475195
4,LRank NDCG,0.3966379325885223
5,LRank NDCG,0.3899758495435097
6,LRank NDCG,0.393085832529967
7,LRank NDCG,0.3970363323692938
8,LRank NDCG,0.3937317331141048
9,LRank NDCG,0.3902945693681269
10,LRank NDCG,0.3906041219494359
11,LRank NDCG,0.3908339945745906
12,LRank NDCG,0.393355545133199
13,LRank NDCG,0.3942136901642799
1,LRank Train Loss,0.7246631979942322
2,LRank Train Loss,0.7146536111831665
3,LRank Train Loss,0.7161810994148254
4,LRank Train Loss,0.7098233699798584
5,LRank Train Loss,0.7097944021224976
6,LRank Train Loss,0.7048569917678833
7,LRank Train Loss,0.7007707953453064
8,LRank Train Loss,0.7056890726089478
9,LRank Train Loss,0.7020184397697449
10,LRank Train Loss,0.6993629932403564
11,LRank Train Loss,0.6983444094657898
12,LRank Train Loss,0.6957738399505615
13,LRank Train Loss,0.6960146427154541
1,LRank Val Loss,0.699700653553009
2,LRank Val Loss,0.6968951225280762
3,LRank Val Loss,0.6951310634613037
4,LRank Val Loss,0.696189284324646
5,LRank Val Loss,0.6959525346755981
6,LRank Val Loss,0.6944730281829834
7,LRank Val Loss,0.6936562061309814
8,LRank Val Loss,0.6943065524101257
9,LRank Val Loss,0.6948983669281006
10,LRank Val Loss,0.6951234340667725
11,LRank Val Loss,0.6951454877853394
12,LRank Val Loss,0.6950744986534119
13,LRank Val Loss,0.6949958801269531
